,Company,Symbol,Profile,Summary,TFIDF_Summary,TFIDF_Rouge,T5_Rouge
27,Coca-Cola Company,KO,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks, sparkling flavors; water, sports, coffee, and tea; juice, value-added dairy, and plant-based beverages; and other beverages. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, caffeine free Diet Coke, Cherry Coke, Fanta Orange, Fanta Zero Orange, Fanta Zero Sugar, Fanta Apple, Sprite, Sprite Zero Sugar, Simply Orange, Simply Apple, Simply Grapefruit, Fresca, Schweppes, Thums Up, Aquarius, Ayataka, BODYARMOR, Ciel, Costa, Dasani, dogadan, FUZE TEA, Georgia, glacéau smartwater, glacéau vitaminwater, Gold Peak, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, and Minute Maid Pulpy brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia.","The Coca-Cola Company, a beverage company, manufactures, markets and sells nonalcoholic beverages worldwide . The company provides sparkling soft drinks, sparkling flavors; water, sports, coffee, and tea; juice, value-added dairy, and plant-based beverages . The company operates through network of independent bottling partners, distributors, wholesalers, and retailers .",,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","{'rouge1': Score(precision=1.0, recall=0.2696629213483146, fmeasure=0.4247787610619469), 'rouge2': Score(precision=0.9148936170212766, recall=0.24293785310734464, fmeasure=0.38392857142857145), 'rougeL': Score(precision=1.0, recall=0.2696629213483146, fmeasure=0.4247787610619469)}"
28,Advanced Micro Devices,AMD,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates through Data Center, Client, Gaming, and Embedded segments. The company offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs; and embedded processors, and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing unites, field programmable gate arrays (FPGA), and adaptive SoC products. It provides processors under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, and AMD PRO A-Series brand names; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; and professional graphics under the AMD Radeon Pro graphics brand name. In addition, the company offers data center graphics under the Radeon Instinct and Radeon PRO V-series brands, as well as servers under the AMD Instinct accelerators brand; server microprocessors under the AMD EPYC brands; low power solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo brand. It serves original equipment and design manufacturers, public cloud service providers, system integrators, independent distributors, and add-in-board manufacturers through its direct sales force, and sales representatives. Advanced Micro Devices, Inc. was incorporated in 1969 and is headquartered in Santa Clara, California.","Advanced Micro Devices, Inc. operates as semiconductor company worldwide . It offers x86 microprocessors and graphics processing units (GPUs) as an accelerated processing unit, chipsets, data center, and professional GPUs . It provides processors under the Radeon Instinct and Radeon PRO V-series brands .",,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","{'rouge1': Score(precision=1.0, recall=0.14840989399293286, fmeasure=0.25846153846153846), 'rouge2': Score(precision=0.926829268292683, recall=0.1347517730496454, fmeasure=0.23529411764705885), 'rougeL': Score(precision=1.0, recall=0.14840989399293286, fmeasure=0.25846153846153846)}"
29,Wells Fargo & Co.,WFC,"Wells Fargo & Company, a financial services company, provides diversified banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally. The company operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management. The Consumer Banking and Lending segment offers diversified financial products and services for consumers and small businesses. Its financial products and services include checking and savings accounts, and credit and debit cards, as well as home, auto, personal, and small business lending services. The Commercial Banking segment provides financial solutions to private, family owned, and certain public companies. Its products and services include banking and credit products across various industry sectors and municipalities, secured lending and lease products, and treasury management services. The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services, such as corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services to corporate, commercial real estate, government, and institutional clients. The Wealth and Investment Management segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services to affluent, high-net worth, and ultra-high-net worth clients. It also operates through financial advisors in brokerage and wealth offices, consumer bank branches, independent offices, and digitally through WellsTrade and Intuitive Investor. The company was founded in 1852 and is headquartered in San Francisco, California.","Wells Fargo & Company, a financial services company, provides diversified banking, investment, mortgage, and consumer and commercial finance products and services in the United States and internationally . The company operates through four segments: Consumer Banking and Lending; Commercial Banking; Corporate and Investment Banking; and Wealth and Investment Management . The Corporate and Investment Banking segment provides personalized wealth management, brokerage, financial planning, lending, private banking, and trust and fiduciary products and services ","The Corporate and Investment Banking segment offers a suite of capital markets, banking, and financial products and services, such as corporate banking, investment banking, treasury management, commercial real estate lending and servicing, equity, and fixed income solutions, as well as sales, trading, and research capabilities services to corporate, commercial real estate, government, and institutional clients.","{'rouge1': Score(precision=1.0, recall=0.21653543307086615, fmeasure=0.3559870550161812), 'rouge2': Score(precision=1.0, recall=0.2134387351778656, fmeasure=0.35179153094462534), 'rougeL': Score(precision=1.0, recall=0.21653543307086615, fmeasure=0.3559870550161812)}","{'rouge1': Score(precision=1.0, recall=0.2755905511811024, fmeasure=0.4320987654320988), 'rouge2': Score(precision=1.0, recall=0.2727272727272727, fmeasure=0.42857142857142855), 'rougeL': Score(precision=1.0, recall=0.2755905511811024, fmeasure=0.4320987654320988)}"
30,"Cisco Systems, Inc.",CSCO,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. The company also offers switching portfolio encompasses campus switching as well as data center switching; enterprise routing portfolio interconnects public and private wireline and mobile networks, delivering highly secure, and reliable connectivity to campus, data center and branch networks; and wireless products include indoor and outdoor wireless coverage designed for seamless roaming use of voice, video, and data applications. In addition, it provides security, which comprising network security, identity and access management, secure access service edge, and threat intelligence, detection, and response offerings; collaboration products, such as Webex Suite, collaboration devices, contact center, and communication platform as a service; end-to-end collaboration solutions that can be delivered from the cloud, on-premise or within hybrid cloud environments allowing customers to transition their collaboration solutions from on-premise to the cloud; and observability offers network assurance, monitoring and analytics and observability suite. Further, the company offers a range of service and support options for its customers, including technical support and advanced services and advisory services. It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. has strategic alliances with other companies. Cisco Systems, Inc. was incorporated in 1984 and is headquartered in San Jose, California.","Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry . It serves businesses of various sizes, public institutions, governments, and service providers . Cisco Systems, Inc. was incorporated in 1984 and is headquartered in San Jose, California.","In addition, it provides security, which comprising network security, identity and access management, secure access service edge, and threat intelligence, detection, and response offerings; collaboration products, such as Webex Suite, collaboration devices, contact center, and communication platform as a service; end-to-end collaboration solutions that can be delivered from the cloud, on-premise or within hybrid cloud environments allowing customers to transition their collaboration solutions from on-premise to the cloud; and observability offers network assurance, monitoring and analytics and observability suite.","{'rouge1': Score(precision=1.0, recall=0.32421875, fmeasure=0.4896755162241888), 'rouge2': Score(precision=1.0, recall=0.3215686274509804, fmeasure=0.48664688427299707), 'rougeL': Score(precision=1.0, recall=0.32421875, fmeasure=0.4896755162241888)}","{'rouge1': Score(precision=1.0, recall=0.1875, fmeasure=0.3157894736842105), 'rouge2': Score(precision=0.9574468085106383, recall=0.17647058823529413, fmeasure=0.29801324503311266), 'rougeL': Score(precision=1.0, recall=0.1875, fmeasure=0.3157894736842105)}"
31,Accenture Plc,ACN,"Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in North America, Europe, the Middle East, Africa, and internationally. It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data and AI; and automation services. The company also operates business processes; and designs, manufactures, and assembles automation equipment, robotics, and other commercial hardware products. It serves communications, media, and technology; banking and capital markets, and insurance; health and public service; consumer goods, retail, travel services; industrial; life science; chemicals, natural resources, energy, and utilities sectors. It has collaboration agreement with Kyoto University to advance learning, research, and innovation in human-centered  AI. The company was founded in 1951 and is based in Dublin, Ireland.","Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in North America, Europe, the Middle East, Africa, and internationally . It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data and AI; and automation services . The company was founded in 1951 and is based in Dublin, Ireland.","It serves communications, media, and technology; banking and capital markets, and insurance; health and public service; consumer goods, retail, travel services; industrial; life science; chemicals, natural resources, energy, and utilities sectors. Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in North America, Europe, the Middle East, Africa, and internationally.","{'rouge1': Score(precision=1.0, recall=0.45081967213114754, fmeasure=0.6214689265536724), 'rouge2': Score(precision=0.9814814814814815, recall=0.4380165289256198, fmeasure=0.6057142857142858), 'rougeL': Score(precision=0.6363636363636364, recall=0.28688524590163933, fmeasure=0.39548022598870053)}","{'rouge1': Score(precision=1.0, recall=0.45081967213114754, fmeasure=0.6214689265536724), 'rouge2': Score(precision=1.0, recall=0.4462809917355372, fmeasure=0.6171428571428571), 'rougeL': Score(precision=1.0, recall=0.45081967213114754, fmeasure=0.6214689265536724)}"
32,"Pepsico, Inc.",PEP,"PepsiCo, Inc. engages in the manufacture, marketing, distribution, and sale of various beverages and convenient foods worldwide. The company operates through seven segments: Frito-Lay North America; Quaker Foods North America; PepsiCo Beverages North America; Latin America; Europe; Africa, Middle East and South Asia; and Asia Pacific, Australia and New Zealand and China Region. It provides dips, cheese-flavored snacks, and spreads, as well as corn, potato, and tortilla chips; cereals, rice, pasta, mixes and syrups, granola bars, grits, oatmeal, rice cakes, and side dishes; beverage concentrates, fountain syrups, and finished goods; ready-to-drink tea, coffee, and juices; dairy products; and sparkling water makers and related products, as well as distributes alcoholic beverages under Hard MTN Dew brand. The company offers its products primarily under the Lay's, Doritos, Fritos, Tostitos, BaiCaoWei, Cheetos, Cap'n Crunch, Life, Pearl Milling Company, Gatorade, Pepsi-Cola, Mountain Dew, Quaker, Rice-A-Roni, Aquafina, Bubly, Emperador, Diet Mountain Dew, Diet Pepsi, Gatorade Zero, Crush, Propel, Dr Pepper, Schweppes, Marias Gamesa, Ruffles, Sabritas, Saladitas, Tostitos, 7UP, Diet 7UP, H2oh!, Manzanita Sol, Mirinda, Pepsi Black, Pepsi Max, San Carlos, Toddy, Walkers, Chipsy, Kurkure, Sasko, Spekko, White Star, Smith's, Sting, SodaStream, Lubimyj Sad, Agusha, Chudo, Domik v Derevne, Lipton, and other brands. It serves wholesale and other distributors, foodservice customers, grocery stores, drug stores, convenience stores, discount/dollar stores, mass merchandisers, membership stores, hard discounters, e-commerce retailers and authorized independent bottlers, and others through a network of direct-store-delivery, customer warehouse, and distributor networks, as well as directly to consumers through e-commerce platforms and retailers. The company was founded in 1898 and is based in Purchase, New York.","PepsiCo, Inc. operates through seven segments: Frito-Lay North America; Quaker Foods North America; PepsiCo Beverages North America; Latin America; Europe; Africa, Middle East and South Asia; and Asia Pacific, Australia and New Zealand and China Region . It provides dips, cheese-flavored snacks, and spreads, as well as corn, potato, and tortilla chips; cereals, rice, pasta, mixes",,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","{'rouge1': Score(precision=1.0, recall=0.20652173913043478, fmeasure=0.34234234234234234), 'rouge2': Score(precision=0.9821428571428571, recall=0.2, fmeasure=0.3323262839879154), 'rougeL': Score(precision=1.0, recall=0.20652173913043478, fmeasure=0.34234234234234234)}"
33,Linde Plc,LIN,"Linde plc operates as an industrial gas company in the Americas, Europe, the Middle East, Africa, Asia, and South Pacific. It offers atmospheric gases, including oxygen, nitrogen, argon, and rare gases; and process gases, such as carbon dioxide, helium, hydrogen, electronic gases, specialty gases, and acetylene. The company also designs and constructs turnkey process plants for third-party customers, as well as for the gas businesses in various locations, such as air separation, hydrogen, synthesis, olefin, and natural gas plants. It serves a range of industries, including healthcare, chemicals and energy, manufacturing, metals and mining, food and beverage, and electronics. The company was founded in 1879 and is based in Woking, the United Kingdom.","Linde plc operates as an industrial gas company in the Americas, Europe, the Middle East, Africa, Asia, and South Pacific . It offers atmospheric gases, including oxygen, nitrogen, argon, and rare gases; and process gases, such as carbon dioxide, helium, hydrogen, electronic gases, specialty gases, and acetylene . Linde plc operates as an industrial gas company in the Americas, Europe, the Middle East, Africa","The company also designs and constructs turnkey process plants for third-party customers, as well as for the gas businesses in various locations, such as air separation, hydrogen, synthesis, olefin, and natural gas plants. Linde plc operates as an industrial gas company in the Americas, Europe, the Middle East, Africa, Asia, and South Pacific. It serves a range of industries, including healthcare, chemicals and energy, manufacturing, metals and mining, food and beverage, and electronics.","{'rouge1': Score(precision=1.0, recall=0.6491228070175439, fmeasure=0.7872340425531915), 'rouge2': Score(precision=0.9863013698630136, recall=0.6371681415929203, fmeasure=0.7741935483870966), 'rougeL': Score(precision=0.7297297297297297, recall=0.47368421052631576, fmeasure=0.5744680851063829)}","{'rouge1': Score(precision=0.8548387096774194, recall=0.4649122807017544, fmeasure=0.6022727272727273), 'rouge2': Score(precision=0.7377049180327869, recall=0.39823008849557523, fmeasure=0.5172413793103449), 'rougeL': Score(precision=0.8225806451612904, recall=0.4473684210526316, fmeasure=0.5795454545454546)}"
34,Adobe Inc.,ADBE,"Adobe Inc., together with its subsidiaries, operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, students, workers, marketers, educators, enthusiasts, and communicators. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. It also provides consulting, technical support, and learning services. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.","Adobe Inc., together with its subsidiaries, operates as diversified software company worldwide . The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content . This segment serves content creators, students, workers, marketers, educators, enthusiasts, and communicators . The Digital Experience segment provides an integrated platform and set of applications and services that enable individuals, teams, and enterprises to create, publish, and promote","The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform.","{'rouge1': Score(precision=1.0, recall=0.23443223443223443, fmeasure=0.37982195845697325), 'rouge2': Score(precision=0.9841269841269841, recall=0.22794117647058823, fmeasure=0.3701492537313433), 'rougeL': Score(precision=0.703125, recall=0.16483516483516483, fmeasure=0.26706231454005935)}","{'rouge1': Score(precision=0.9571428571428572, recall=0.2454212454212454, fmeasure=0.39067055393586003), 'rouge2': Score(precision=0.855072463768116, recall=0.21691176470588236, fmeasure=0.34604105571847504), 'rougeL': Score(precision=0.9428571428571428, recall=0.24175824175824176, fmeasure=0.38483965014577254)}"
35,"Thermo Fisher Scientific, Inc.",TMO,"Thermo Fisher Scientific Inc. provides life sciences solutions, analytical instruments, specialty diagnostics, and laboratory products and biopharma services in the North America, Europe, Asia-Pacific, and internationally. The company's Life Sciences Solutions segment offers reagents, instruments, and consumables for biological and medical research, discovery, and production of drugs and vaccines, as well as diagnosis of infections and diseases; and solutions include biosciences, genetic sciences, and bio production to pharmaceutical, biotechnology, agricultural, clinical, healthcare, academic, and government markets. Its Analytical Instruments segment provides instruments, consumables, software, and services for pharmaceutical, biotechnology, academic, government, environmental, and other research and industrial markets, as well as clinical laboratories. The company's Specialty Diagnostics segment offers liquid, ready-to-use, and lyophilized immunodiagnostic reagent kits, as well as calibrators, controls, protein detection assays, and instruments; immunodiagnostics develops, manufactures and markets complete bloodtest systems to support the clinical diagnosis and monitoring of allergy, asthma and autoimmune diseases; dehydrated and prepared culture media, collection and transport systems, instrumentation, and consumables; human leukocyte antigen typing and testing for organ transplant market; and healthcare products. Its Laboratory Products and Biopharma Services segment provides laboratory products, research and safety market channel, and pharma services and clinical research. It offers products and services through a direct sales force, customer-service professionals, electronic commerce, and third-party distributors under Thermo Scientific; Applied Biosystems; Invitrogen; Fisher Scientific; Unity Lab Services; and Patheon and PPD. It has a collaboration agreement with Mainz Biomed N.V. for the development of colorectal cancer screening product. Thermo Fisher Scientific Inc. was founded in 1956 and is headquartered in Waltham, Massachusetts.","Thermo Fisher Scientific Inc. was founded in 1956 and is headquartered in Waltham, Massachusetts . It offers life sciences solutions, analytical instruments, specialty diagnostics, and laboratory products and biopharma services in North America, Europe, Asia-Pacific . The company's Life Sciences Solutions segment offers reagents, instruments, and consumables for biological and medical research, discovery, and production of drugs and vaccines .","The company's Specialty Diagnostics segment offers liquid, ready-to-use, and lyophilized immunodiagnostic reagent kits, as well as calibrators, controls, protein detection assays, and instruments; immunodiagnostics develops, manufactures and markets complete bloodtest systems to support the clinical diagnosis and monitoring of allergy, asthma and autoimmune diseases; dehydrated and prepared culture media, collection and transport systems, instrumentation, and consumables; human leukocyte antigen typing and testing for organ transplant market; and healthcare products.","{'rouge1': Score(precision=1.0, recall=0.2727272727272727, fmeasure=0.42857142857142855), 'rouge2': Score(precision=1.0, recall=0.26996197718631176, fmeasure=0.42514970059880236), 'rougeL': Score(precision=1.0, recall=0.2727272727272727, fmeasure=0.42857142857142855)}","{'rouge1': Score(precision=1.0, recall=0.22348484848484848, fmeasure=0.3653250773993808), 'rouge2': Score(precision=0.9310344827586207, recall=0.20532319391634982, fmeasure=0.3364485981308411), 'rougeL': Score(precision=0.7966101694915254, recall=0.17803030303030304, fmeasure=0.2910216718266254)}"
36,Mcdonald's Corporation,MCD,"McDonald's Corporation operates and franchises restaurants under the McDonald's brand in the United States and internationally. It offers food and beverages, including hamburgers and cheeseburgers, various chicken sandwiches, fries, shakes, desserts, sundaes, cookies, pies, soft drinks, coffee, and other beverages; and full or limited breakfast, as well as sells various other products during limited-time promotions. The company owns and operates under various structures comprising conventional franchise, developmental license, or affiliate. McDonald's Corporation was founded in 1940 and is based in Chicago, Illinois.","McDonald's Corporation operates and franchises restaurants under the McDonald's brand in United States and internationally . It offers food and beverages, including hamburgers and cheeseburgers, various chicken sandwiches, fries, shakes, desserts, sundaes, cookies, pies, soft drinks, coffee . McDonald's Corporation owns and operates under various structures comprising conventional franchise, developmental license, or affiliate .","It offers food and beverages, including hamburgers and cheeseburgers, various chicken sandwiches, fries, shakes, desserts, sundaes, cookies, pies, soft drinks, coffee, and other beverages; and full or limited breakfast, as well as sells various other products during limited-time promotions. The company owns and operates under various structures comprising conventional franchise, developmental license, or affiliate. McDonald's Corporation operates and franchises restaurants under the McDonald's brand in the United States and internationally.","{'rouge1': Score(precision=1.0, recall=0.8488372093023255, fmeasure=0.9182389937106918), 'rouge2': Score(precision=1.0, recall=0.8470588235294118, fmeasure=0.9171974522292993), 'rougeL': Score(precision=0.821917808219178, recall=0.6976744186046512, fmeasure=0.7547169811320754)}","{'rouge1': Score(precision=1.0, recall=0.627906976744186, fmeasure=0.7714285714285715), 'rouge2': Score(precision=0.9433962264150944, recall=0.5882352941176471, fmeasure=0.7246376811594204), 'rougeL': Score(precision=0.9444444444444444, recall=0.5930232558139535, fmeasure=0.7285714285714286)}"
37,"Servicenow, Inc.",NOW,"ServiceNow, Inc. provides end to-end intelligent workflow automation platform solutions for digital businesses in the North America, Europe, the Middle East and Africa, Asia Pacific, and internationally. The company operates the Now platform for end-to-end digital transformation, artificial intelligence, machine learning, robotic process automation, process mining, performance analytics, and collaboration and development tools. It also provides asset management, cloud observability, integrated risk management; information technology (IT) service management applications; IT service management product suite for enterprise's employees, customers, and partners; strategic portfolio management product suite; IT operations management product that connects a customer's physical and cloud-based IT infrastructure; IT asset management; and security operations that connects with internal and third party. In addition, the company offers integrated risk management product to manage risk and resilience; environmental, social and governance management product; human resources, legal, and workplace service delivery products; customer service management product; and field service management applications. Further, the company provides app engine product; automation engine; platform privacy and security product; and source-to-pay operations. It serves to government, financial services, healthcare, telecommunications, manufacturing, IT services, technology, oil and gas, education, and consumer products through service providers and resale partners. The company was formerly known as Service-now.com and changed its name to ServiceNow, Inc. in May 2012. ServiceNow, Inc. was founded in 2004 and is headquartered in Santa Clara, California.","ServiceNow, Inc. was founded in 2004 and is headquartered in Santa Clara, California . The company operates the Now platform for end-to-end digital transformation, artificial intelligence, machine learning, robotic process automation . It provides asset management, cloud observability, integrated risk management, information technology (IT) service management applications .","It also provides asset management, cloud observability, integrated risk management; information technology (IT) service management applications; IT service management product suite for enterprise's employees, customers, and partners; strategic portfolio management product suite; IT operations management product that connects a customer's physical and cloud-based IT infrastructure; IT asset management; and security operations that connects with internal and third party.","{'rouge1': Score(precision=1.0, recall=0.26521739130434785, fmeasure=0.41924398625429554), 'rouge2': Score(precision=1.0, recall=0.26200873362445415, fmeasure=0.4152249134948097), 'rougeL': Score(precision=1.0, recall=0.26521739130434785, fmeasure=0.41924398625429554)}","{'rouge1': Score(precision=1.0, recall=0.20434782608695654, fmeasure=0.3393501805054152), 'rouge2': Score(precision=0.9347826086956522, recall=0.18777292576419213, fmeasure=0.3127272727272727), 'rougeL': Score(precision=0.8085106382978723, recall=0.16521739130434782, fmeasure=0.27436823104693137)}"
38,Abbott Laboratories,ABT,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. It also offers laboratory and transfusion medicine systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics polymerase chain reaction instrument systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, and detect and measure infectious agents; point of care systems; cartridges for testing blood gas, chemistry, electrolytes, coagulation, and immunoassay; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for laboratories. In addition, the company provides pediatric and adult nutritional products; rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; diabetes care products, such as glucose and blood glucose monitoring systems; and neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.","Abbott Laboratories, together with its subsidiaries, operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices . It provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipid",,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0, recall=0, fmeasure=0)}","{'rouge1': Score(precision=0.9791666666666666, recall=0.18076923076923077, fmeasure=0.3051948051948052), 'rouge2': Score(precision=0.9148936170212766, recall=0.16602316602316602, fmeasure=0.28104575163398693), 'rougeL': Score(precision=0.9583333333333334, recall=0.17692307692307693, fmeasure=0.29870129870129875)}"
39,Texas Instruments Incorporated,TXN,"Texas Instruments Incorporated designs, manufactures, and sells semiconductors to electronics designers and manufacturers in the United States and internationally. The company operates through Analog and Embedded Processing segments. The Analog segment offers power products to manage power requirements across various voltage levels, including battery-management solutions, DC/DC switching regulators, AC/DC and isolated controllers and converters, power switches, linear regulators, voltage references, and lighting products. This segment provides signal chain products that sense, condition, and measure signals to allow information to be transferred or converted for further processing and control, including amplifiers, data converters, interface products, motor drives, clocks, and logic and sensing products. The Embedded Processing segment offers microcontrollers that are used in electronic equipment; digital signal processors for mathematical computations; and applications processors for specific computing activity. This segment offers products for use in various markets, such as industrial, automotive, personal electronics, communications equipment, enterprise systems, and calculators and other. It provides DLP products primarily for use in project high-definition images; calculators; and application-specific integrated circuits. The company markets and sells its semiconductor products through direct sales and distributors, as well as through its website. Texas Instruments Incorporated was founded in 1930 and is headquartered in Dallas, Texas.","Texas Instruments Incorporated designs, manufactures, and sells semiconductors to electronics designers and manufacturers in the United States and internationally . The company operates through Analog and Embedded Processing segments . The Analog segment offers power products to manage power requirements across various voltage levels . This segment provides signal chain products that sense, condition, and measure signals .","This segment provides signal chain products that sense, condition, and measure signals to allow information to be transferred or converted for further processing and control, including amplifiers, data converters, interface products, motor drives, clocks, and logic and sensing products. The Analog segment offers power products to manage power requirements across various voltage levels, including battery-management solutions, DC/DC switching regulators, AC/DC and isolated controllers and converters, power switches, linear regulators, voltage references, and lighting products.","{'rouge1': Score(precision=1.0, recall=0.3793103448275862, fmeasure=0.5499999999999999), 'rouge2': Score(precision=1.0, recall=0.37623762376237624, fmeasure=0.5467625899280576), 'rougeL': Score(precision=0.6233766233766234, recall=0.23645320197044334, fmeasure=0.34285714285714286)}","{'rouge1': Score(precision=1.0, recall=0.2660098522167488, fmeasure=0.4202334630350195), 'rouge2': Score(precision=0.9811320754716981, recall=0.25742574257425743, fmeasure=0.40784313725490196), 'rougeL': Score(precision=1.0, recall=0.2660098522167488, fmeasure=0.4202334630350195)}"
